GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestingP3 Maven Webapp,AnioBisiesto,Fecha,15,45,5,5,3,17,5,7,0,7
TestingP3 Maven Webapp,AnioBisiesto,Aniobisiesto,46,29,0,6,14,7,1,6,1,3
